DOY,Radiation,Rainfall,MaxTemp,MinTemp
1,11.87904968,0.2,29.5,22.1
2,13.67890569,0.1,29.1,23.3
3,7.559395248,0,27.5,23.1
4,8.639308855,0,29.1,23.5
5,11.15910727,0,29.6,22
6,16.1987041,0,31,22.3
7,16.73866091,0.3,31.9,23.1
8,16.91864651,0,33.1,22.8
9,16.3786897,0,32.4,23.5
10,15.1187905,0,32.5,24.5
11,14.57883369,1.4,31.2,23.5
12,10.61915047,0,28.5,24.3
13,14.75881929,0,29.6,22.9
14,13.49892009,0,29.4,22.2
15,11.69906407,0,29,22.9
16,14.9388049,0,31,22.8
17,6.659467243,0.4,27.6,22.2
18,10.43916487,0.3,28,23.4
19,16.73866091,0,32,24
20,14.75881929,0.1,31.7,23
21,14.39884809,0.9,30.8,24
22,7.559395248,0.3,28.8,23.4
23,18.89848812,0,31.9,23.8
24,10.79913607,0,28.4,24.4
25,11.69906407,0,28.3,22.3
26,17.45860331,0,29.8,20.6
27,8.459323254,0,29.4,22.3
28,8.819294456,0,25.9,22.6
29,6.479481641,0,24,22
30,6.659467243,0,24.8,21.8
31,5.399568035,0.7,23.5,22
32,12.59899208,0.3,27,21.2
33,10.61915047,0,27.7,21
34,9.179265659,0,25,22.2
35,8.099352052,0,25.8,21.8
36,11.87904968,0,27.5,21.5
37,19.25845932,0,30,22.2
38,15.6587473,0,29,20.5
39,19.97840173,0,30.5,19.7
40,21.05831533,0,30.7,17.6
41,19.79841613,0,29.7,19.7
42,16.91864651,0.2,29.6,21.4
43,12.77897768,0,27.2,21.5
44,12.05903528,0,27.4,21.1
45,9.35925126,0.4,28,21.5
46,9.35925126,1.3,28.9,22.7
47,10.07919366,0,29,22.8
48,19.43844492,0,31.2,22.2
49,20.33837293,0,31,21.5
50,19.25845932,0,30.2,21.3
51,4.139668826,0.5,25.1,23.2
52,18.89848812,0,29.5,22.3
53,9.539236861,0,27.1,21.2
54,7.919366451,1.3,26.6,22
55,10.25917927,0.2,28.4,22.7
56,12.05903528,0,29.8,23.3
57,7.379409647,2.6,27.5,23.7
58,6.29949604,0.9,25.2,23.2
59,16.91864651,0,30,23.1
60,23.03815695,0,31.8,23.7
61,18.71850252,0,30.5,24.2
62,21.05831533,0,32,22.5
63,22.49820014,0,32.9,22.6
64,22.85817135,0,32.2,22.6
65,12.41900648,0,27.5,22.7
66,13.67890569,0,27.5,22
67,16.91864651,0,27.3,21.5
68,9.899208063,0,26,20.4
69,16.73866091,0,28.1,19.7
70,12.77897768,0,28,21.3
71,8.999280058,1.6,26.7,23.3
72,10.61915047,0.5,29,22.8
73,13.31893449,1.1,29.5,24
74,13.67890569,3.8,29.2,23.3
75,18.35853132,0,29.8,23
76,24.29805616,0,30.7,22.7
77,16.1987041,0,30,23.6
78,20.69834413,0,32.7,22.7
79,16.0187185,0,31.6,22.5
80,15.1187905,1.2,30,24.7
81,16.3786897,0,29.8,22.8
82,15.1187905,0,30.2,22.5
83,23.39812815,0,32,22
84,18.35853132,0,33,22.8
85,22.67818575,0,33,22.7
86,23.21814255,0,32.6,22
87,20.87832973,0,32.5,22.4
88,19.07847372,0,30.7,23.7
89,11.33909287,2.7,30,24
90,8.459323254,1.7,28.4,23.3
91,16.1987041,0,31.3,23.7
92,16.0187185,1.6,31,24.6
93,19.97840173,0,32.7,24.2
94,25.19798416,0,33.1,22.7
95,19.25845932,0,32.9,21.9
96,25.37796976,0,33.2,22
97,24.11807055,0,33,23.6
98,17.81857451,0,32,24.8
99,22.49820014,0,33.2,23.8
100,21.95824334,0,33.5,24.7
101,25.73794096,0,33.4,24.1
102,20.87832973,0,33.2,23.7
103,22.67818575,0,32.7,24.3
104,25.37796976,0,33.2,24
105,23.21814255,0,33.6,24
106,25.91792657,0,34.5,23.2
107,21.23830094,0,33.4,24.1
108,23.21814255,0,33.5,23.7
109,23.21814255,0,33.9,24
110,19.61843053,0,33,23.5
111,25.01799856,0,34.7,22.4
112,20.33837293,0,33.5,22.5
113,21.77825774,0,33.5,21.2
114,21.95824334,0,33.5,21
115,16.55867531,0,33.5,22.8
116,18.35853132,0,33.3,24
117,16.1987041,2.7,34.2,24.4
118,16.0187185,0,33,24
119,19.97840173,0,33.9,23.8
120,0.903527718,0.1,34.6,24.2
121,12.41900648,0.1,32,24.5
122,14.9388049,2.1,34,23.1
123,17.63858891,0,32.8,23.7
124,14.21886249,0.4,32,24.1
125,13.49892009,2.9,32.6,23.5
126,17.45860331,0.3,32.1,22.6
127,19.43844492,1.1,34.7,22.5
128,19.61843053,0.5,33.6,23
129,18.17854572,0.1,33.2,23.7
130,22.31821454,0.9,34.8,24.2
131,17.63858891,0.6,33,25.3
132,17.45860331,0,33.5,26.2
133,21.77825774,0,34.5,24.1
134,18.53851692,0,33.9,25.9
135,20.51835853,0.5,33.8,25.7
136,19.25845932,14.2,34,25
137,2.519798416,220.3,26,23
138,11.87904968,4.7,30,23.5
139,12.59899208,25,31,24.4
140,16.0187185,0.9,31.8,25
141,20.87832973,1.4,32.5,24.4
